Structure,Channel,radii
6LQA,SCN,"[ 0.          0.          0.          0.          9.54813304 11.73148423
  8.35579822  8.27424363  5.20541639  8.78941617  6.29013582  7.95733779
 10.68378437  0.          0.          0.          0.          0.
  0.        ]"
6UZ0,SCN,"[0.         0.         0.         0.         4.43424546 7.03925634
 6.98487327 7.88932337 4.98348525 8.78680445 6.18689954 7.64508528
 6.7464294  0.         0.         0.         0.         0.
 0.        ]"
6UZ3,SCN,"[0.         0.         0.         0.         0.         9.16409362
 6.28808042 7.76803268 5.00489654 8.91928957 6.24477278 7.81939749
 4.10784359 0.         0.         0.         0.         0.
 0.        ]"
7DTC,SCN,"[ 0.          0.          0.          0.          4.60257329 12.1306499
  8.61170292  8.27198078  5.13809162  8.98080317  6.11310164  7.73568169
  6.82828026  0.          0.          0.          0.          0.
  0.        ]"
7FBS,SCN,"[0.         0.         0.         0.         4.35592045 7.67824247
 6.76698343 8.12135914 5.14673322 8.71708112 6.61662097 7.57707942
 6.3852775  0.         0.         0.         0.         0.
 0.        ]"
6AGF,SCN,"[0.         0.         0.         0.         4.98074582 7.74201682
 6.22543387 8.30818704 5.07407478 7.8807462  6.45127518 7.40303639
 9.7959316  0.         0.         0.         0.         0.
 0.        ]"
7DTD,SCN,"[0.         0.         0.         0.         4.9662687  8.40447807
 8.37394767 8.17754599 5.09873184 8.11739708 6.78611612 7.43211741
 9.62552303 0.         0.         0.         0.         0.
 0.        ]"
6J8E,SCN,"[0.         0.         0.         0.         4.85365816 8.49715427
 7.37900536 8.37016825 4.99727204 8.69157685 6.61495659 7.36137584
 9.82818198 0.         0.         0.         0.         0.
 0.        ]"
6J8G,SCN,"[ 0.          0.          0.          0.          0.         10.05367773
  6.98624754  8.36143793  5.10491405  7.72514091  6.01144495  7.82983065
  6.4668821   0.          0.          0.          0.          0.
  0.        ]"
6J8H,SCN,"[ 0.          0.          0.          0.          0.         10.05388938
  6.98623211  8.36155598  5.10484342  7.72489103  6.01106738  7.82973949
  6.46708725  0.          0.          0.          0.          0.
  0.        ]"
6J8I,SCN,"[ 0.          0.          0.          0.          0.         10.20957069
  6.98071254  8.2283843   5.09516242  7.83511014  6.03055934  7.85179466
  6.26965795  0.          0.          0.          0.          0.
  0.        ]"
6J8J,SCN,"[ 0.          0.          0.          0.          0.         10.20974686
  6.98071254  8.22813695  5.09516242  7.83511014  6.03041843  7.85202458
  6.26930015  0.          0.          0.          0.          0.
  0.        ]"
6NT3,SCN,"[0.         0.         0.         0.         0.         2.94401395
 9.45260853 8.06054688 5.03922298 8.13080403 5.78055911 7.32537852
 8.79844325 7.05258387 0.         0.         0.         0.
 0.        ]"
6NT4,SCN,"[0.         0.         0.         0.         0.         3.44240555
 9.40129055 8.07188813 4.9544029  8.16606541 5.72743413 7.38658365
 9.94659381 7.43735342 0.         0.         0.         0.
 0.        ]"
7TJ8,SCN,"[ 0.          0.          0.          0.          4.97288309 11.00332399
  9.23333221  8.2606182   5.3198651   9.43509465  6.52689025  7.45627339
  8.89583802  0.          0.          0.          0.          0.
  0.        ]"
7TJ9,SCN,"[ 0.          0.          0.          0.          4.862937   10.43527278
  8.35976661  8.08040996  5.08662833  9.15645655  6.40857062  7.24816484
  5.87722685  0.          0.          0.          0.          0.
  0.        ]"
6N4Q,SCN,"[0.         0.         0.         0.         8.02356059 4.61233815
 5.74981403 6.81702908 5.67701109 5.97154847 5.90966181 5.95933923
 6.41780825 5.85210482 6.17445803 0.         0.         0.
 0.        ]"
6N4R,SCN,"[0.         0.         0.         0.         8.9778654  4.7235151
 5.79949257 5.4603753  3.89703638 4.63936155 4.37045495 3.63853586
 0.         0.         0.         0.         0.         0.
 0.        ]"
